procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 0  0   8192 561156  62300 709024    0    0     0     6   65  115  0  0 100  0  0
 0  0   8192 561156  62308 709024    0    0     0     0   68  119  0  0 100  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 3  0   8192 561156  62308 709024    0    0     0     0   67  118  0  0 100  0  0
 0  0   8192 561408  62308 709024    0    0     0     0   69  121  0  0 100  0  0
 0  0   8192 561408  62316 709024    0    0     0     1   67  118  0  0 100  0  0
 0  0   8192 561408  62324 709024    0    0     0     3   69  121  0  0 100  0  0
 0  0   8192 561408  62324 709024    0    0     0     0   64  115  0  0 100  0  0
 0  0   8192 561156  62324 709064    0    0     0     0  177  350  0  0 100  0  0
 0  0   8192 561156  62324 709064    0    0     0     0   92  167  0  0 100  0  0
 0  0   8192 561156  62332 709064    0    0     0     1   68  121  0  0 100  0  0
 0  0   8192 561156  62332 709064    0    0     0     0   78  141  0  0 100  0  0
 0  0   8192 561156  62332 709064    0    0     0     0   67  120  0  0 100  0  0
 0  0   8192 561156  62332 709064    0    0     0     0   66  117  0  0 100  0  0
 0  0   8192 561156  62332 709064    0    0     0     0   67  118  0  0 100  0  0
 0  0   8192 561156  62340 709064    0    0     0     1   67  118  0  0 100  0  0
 0  0   8192 560904  62348 709064    0    0     0     2   72  126  0  0 100  0  0
 0  0   8192 560904  62348 709064    0    0     0     0   64  115  0  0 100  0  0
 0  0   8192 560904  62364 709064    0    0     0     3   68  120  0  0 100  0  0
 0  0   8192 560904  62364 709064    0    0     0     1   64  115  0  0 100  0  0
 0  0   8192 560904  62364 709064    0    0     0     0   71  133  0  0 100  0  0
 0  0   8192 560904  62364 709064    0    0     0     0   65  115  0  0 100  0  0
 0  0   8192 560904  62364 709064    0    0     0     0   68  120  0  0 100  0  0
 0  0   8192 560652  62364 709064    0    0     0     0   68  119  0  0 100  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0   8192 560652  62364 709064    0    0     0     0   68  124  0  0 100  0  0
 0  0   8192 560652  62372 709064    0    0     0     2   67  122  0  0 100  0  0
 0  0   8192 560728  62388 709084    0    0     0     4   70  122  0  0 100  0  0
 1  0   8192 560476  62396 709084    0    0     0     6   66  116  0  0 100  0  0
 0  0   8192 560728  62396 709084    0    0     0     1   66  119  0  0 100  0  0
 0  0   8192 560728  62396 709084    0    0     0     0   64  116  0  0 100  0  0
 0  0   8192 560728  62396 709084    0    0     0     0   66  118  0  0 100  0  0
 0  0   8192 560476  62396 709084    0    0     0     0   64  119  0  0 100  0  0
 0  0   8192 559972  62408 709092    1    0     1     7   73  135  0  0 100  0  0
 0  0   8192 559972  62408 709092    0    0     0     1   66  117  0  0 100  0  0
 0  0   8192 560224  62408 709092    0    0     0     0   66  117  0  0 100  0  0
 0  0   8192 560224  62416 709092    0    0     0     1   67  126  0  0 100  0  0
